"Country Name","Country Code","Year","average_value_Automated teller machines (ATMs) (per 100,000 adults)","average_value_Bank liquid reserves to bank assets ratio (%)","average_value_Borrowers from commercial banks (per 1,000 adults)","average_value_Broad money (% of GDP)","average_value_Broad money (current LCU)","average_value_Broad money growth (annual %)","average_value_Broad money to total reserves ratio","average_value_Claims on central government (annual growth as % of broad money)","average_value_Claims on central government, etc. (% GDP)","average_value_Claims on private sector (annual growth as % of broad money)","average_value_Commercial bank branches (per 100,000 adults)","average_value_Consumer price index (2010 = 100)","average_value_DEC alternative conversion factor (LCU per US$)","average_value_Deposit interest rate (%)","average_value_Depositors with commercial banks (per 1,000 adults)","average_value_Depth of credit information index (0=low to 8=high)","average_value_Domestic credit provided by financial sector (% of GDP)","average_value_Domestic credit to private sector (% of GDP)","average_value_Domestic credit to private sector by banks (% of GDP)","average_value_Foreign direct investment, net (BoP, current US$)","average_value_Foreign direct investment, net inflows (% of GDP)","average_value_Foreign direct investment, net inflows (BoP, current US$)","average_value_Foreign direct investment, net outflows (% of GDP)","average_value_Foreign direct investment, net outflows (BoP, current US$)","average_value_GDP deflator: linked series (base year varies by country)","average_value_Inflation, GDP deflator: linked series (annual %)","average_value_Inflation, consumer prices (annual %)","average_value_Interest rate spread (lending rate minus deposit rate, %)","average_value_International migrant stock (% of population)","average_value_International migrant stock, total","average_value_Lending interest rate (%)","average_value_Monetary Sector credit to private sector (% GDP)","average_value_Net domestic credit (current LCU)","average_value_Net foreign assets (current LCU)","average_value_Net migration","average_value_Official exchange rate (LCU per US$, period average)","average_value_Personal remittances, paid (current US$)","average_value_Personal remittances, received (% of GDP)","average_value_Personal remittances, received (current US$)","average_value_Personal transfers, receipts (BoP, current US$)","average_value_Portfolio equity, net inflows (BoP, current US$)","average_value_Portfolio investment, net (BoP, current US$)","average_value_Private credit bureau coverage (% of adults)","average_value_Public credit registry coverage (% of adults)","average_value_Real interest rate (%)","average_value_Strength of legal rights index (0=weak to 12=strong)","average_value_Total reserves (% of total external debt)","average_value_Total reserves (includes gold, current US$)","average_value_Total reserves in months of imports","average_value_Total reserves minus gold (current US$)"
"IDA only","IDX","1998","","","","25.3497623711914","","","","","6.90127035155091","","","","","","","","","13.0723920026645","13.343634674491","","1.61532673038856","3974833041.99448","-0.13067212970736","-962919343.347558","","","6.20801608663323","","","","","13.4358507042652","","","","","1154107029.24875","3.16503432504852","6193266325.31956","","20481360.8605047","","","","","","8.46222312479769","","3.31754103194024",""
"Isle of Man","IMN","1975","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27777","","","","","","0.452041165666667","","","","","","","","","","","","","",""
"Isle of Man","IMN","2017","","","","","","","","","","","","","0.777","","","","","","","","","","","","106.326265090288","4.00001501700618","","","","","","","","","","0.776976682344123","","","","","","","","","","","","","",""
"India","IND","2005","2.285557843061","","","65.5481218955356","23807895000000","15.5999038993872","3.90165353397286","-0.59913772269399","19.0851144286301","14.6699100299771","8.89","66.0438512553292","44.2736","","","","","40.0679804782779","40.0679804782779","-4628652265.34265","0.886100720125194","7269407225.61438","0.321893491360046","2640754960.27173","61.4093268652925","5.62190326268404","4.24634362031925","","0.517653228474756","5923642","10.75","40.0679804782779","21555150476870","6423317523130.04","","44.099975","1348282857.83685","2.69692660117096","22125089480.4982","21859147408.4964","12151206547.739","-12144114067.903","","","4.85514517245753","","113.721097540285","137824828256.285","8.51847317184614","131924326287.054"
"Iran, Islamic Rep.","IRN","1968","","","","27.521207462364","179770000000","15.5185708777792","7.36706515227395","3.56637964271944","8.16741624362864","14.2141112967485","","0.159406974010513","75.75","","","","","19.0093359882168","19.0093359882168","","","","","","","","0.690360521996216","","","","","19.0093359882168","191440000000","14450000000","","75.75000007575","","","","","","","","","","","","322136600","","133000000"
"Iraq","IRQ","1992","","","","","","","","","","","","0.157689747926428","207.9","","","","","","","","0.0167969496578877","93000","","","0.353728743105855","104.500766711271","83.615819209039","","","","","","","","-154026","2002.38558586824","","","","","","","","","","","","6744700000","","6744700000"
"Israel","ISR","2013","123.047713281845","21.883272156094","","79.3919274732157","839047592997.995","8.52673540447931","2.84126514503647","-0.0407450694387671","4.94928834833274","3.03956691972924","21.48","106.885422270038","3.61075833333333","1.32109720797771","951.72","7","","65.9524988138184","65.9429182601788","-7984000000","4.04595048714034","11842200000","1.31817450891598","3858200000","96.2379522195029","2.27973530860271","1.57621197921105","3.09659998041479","","","4.4176971883925","65.9524988138184","889951984227.837","282746942007.487","","3.61075833333333","4837300000","0.261297979477203","764800000","","2712000000","7622600000","100","0","2.09030838155677","6","","81785518232.8202","9.13975724315111","81785518232.8202"
"Jamaica","JAM","2003","","36.0892154535046","","45.8921410075113","249887297000","11.0055901241209","3.62195885618096","18.5348312780737","35.3561635231676","13.6134780945874","","42.8571428571429","57.7409","11.7942521111368","","","","18.3521623110687","18.3521623110687","-604400000","7.24796700703385","683500000","0.838791792620889","79100000","65.6016334860954","11.6240551108509","10.0869565217391","7.0924145555299","","","18.8866666666667","18.3521623110687","344783614000","61524703809.6236","","57.74087375","322200000","14.6295468659896","1379600000","1269500000","0","285600000","","","6.50631402756646","","20.8636716140181","1194860262.03599","2.51400172127706","1194860262.03599"
"Cambodia","KHM","1997","","","","10.4764568395793","1062871000000","16.5917083690756","1.20799113042533","-8.09626400531802","0.530638293789886","22.184621190016","","49.8375227445278","2946.3","8.03333333333334","","","","6.27663241220382","6.27663241220382","-203700000","5.91564174862269","203700000","","","93.4898757148749","6.00507583985339","7.96021397777458","","","","","6.27663241220382","696547000000","1167481622461.66","348495","2946.25","38800000","0.339779128418682","11700000","10000000","","","","","","","15.46127404029","298634409.136048","2.73453865672078","298634409.136048"
"Kiribati","KIR","2013","14.3476139917932","","28.15","","","","","","","","5.74","96.9415993234551","1.0358","","197.02","0","","","","-681180.149911504","0.452768730716828","838137.953237839","0.0847898429054906","156957.803326334","118.409075470416","0.135731859909782","-1.48805908468102","","","","","","","","","1.03584309652054","1284359.11175757","9.32078189111428","17254064.883029","5204317.76847628","","1493988.41669799","0","0","","4","","","",""
